,Name,Street Address,Postal Code,Parking Rates
207,Hotel Indigo Singapore Katong,86 East Coast Road,428788,"MON-FRI Before 5/6 PM
$0.48 for 1st hr, $0.12/15min subsequently from 6am to 10am, $0.96 for 1st hr, $0.24/15min subsequently from 10am to 6pm 

MON-FRI After 5/6 PM
$1.00 for 1st hr, $0.25/15min subsequently from 6pm to 10pm, $0.32 for 1st hr, $0.08/15min subsequently from 10pm to 6am the following day 

SAT
$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am 

SUN / PUBLIC HOLIDAYS
$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am 

REMARKS
Free parking from 12pm to 2pm except on PH 

"
208,Katong Square,86 East Coast Road,428788,"MON-FRI Before 5/6 PM
$0.48 for 1st hr, $0.12/15min subsequently from 6am to 10am, $0.96 for 1st hr, $0.24/15min subsequently from 10am to 6pm 

MON-FRI After 5/6 PM
$1.00 for 1st hr, $0.25/15min subsequently from 6pm to 10pm, $0.32 for 1st hr, $0.08/15min subsequently from 10pm to 6am the following day 

SAT
$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am 

SUN / PUBLIC HOLIDAYS
$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am 

REMARKS
Free parking from 12pm to 2pm except on PH 

"
209,CES Centre,171 Chin Swee Road,169877,"MON-FRI Before 5/6 PM
$2.80/hr from 7am to 9.59pm 

MON-FRI After 5/6 PM
$5.00/entry from 10pm to 6.59am the following day 

SAT
$5.00/entry from 7am to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$5.00/entry from 7am to 6.59am the following day 

"
210,Kaki Bukit Autohub,2 Kaki Bukit Avenue 2,417921,"MON-FRI Before 5/6 PM
$0.50/30min from 7.01am to 10.30pm 

MON-FRI After 5/6 PM
$0.50/30min from 10.31pm to 7am the following day up to a maximum charge of $4.00 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7.01am to 10.30pm, $0.50/30min from 10.31pm to 7am the following day up to a maximum charge of $4.00 

"
211,Carpark @ 22 Bideford Road,22 Bideford Road,229923,"MON-FRI Before 5/6 PM
$3 for 1st hr, $1.50 for next subsequent 30min from 7am to 7.59pm 

MON-FRI After 5/6 PM
$4/entry from 8pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4/entry from 7am to 4.59pm, $4/entry from 5pm to 6.59am the following day 

"
212,Safra Punggol Clubhouse,9 Sentul Crescent,828654,"MON-FRI Before 5/6 PM
$1.25 for 1st hr, $0.32 for next subsequent 15min from 6am to 5.59pm (Members), $2.30 for 1st hr, $0.58 for next subsequent 15min from 6am to 5.59pm (Public) 

MON-FRI After 5/6 PM
$2.40/entry from 6pm to 5.59am the following day (Members), $4.00/entry from 6pm to 5.59am the following day (Public) 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.40/entry from 6am to 5.59am the following day (Members), $4.00/entry from 6am to 5.59am the following day (Public) 

"
213,Devan Nair Institute for Employment and Employability,80 Jurong East Street 21,609607,"MON-FRI Before 5/6 PM
$0.36/15min from 6am to 12midnight 

MON-FRI After 5/6 PM
$0.36/15min from 6am to 12midnight 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
214,"Carlton City Hotel, Singapore",1 Gopeng Street,078862,"MON-FRI Before 5/6 PM
$2.50/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$3.50/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 7am to 7am the following day 

"
215,"Oasia Hotel Downtown, Singapore",100 Peck Seah Street,079333,"MON-FRI Before 5/6 PM
$2.50/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 7am the following day 

SAT
$2.50/30min from 7am to 1pm, $3.00/entry from 1pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 7am the following day 

REMARKS
10min grace period. 

"
216,Pan Pacific Serviced Suites Orchard,96 Somerset Rd,238163,"MON-FRI Before 5/6 PM
$4.28 for 1st hr, $2.14 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$4.28 for 1st hr, $2.14 for next subsequent 30min from 5pm to 8am the following day 

SAT
$4.28 for 1st hr, $2.14 for next subsequent 30min from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$4.28 for 1st hr, $2.14 for next subsequent 30min from 8am to 8am the following day 

REMARKS
Season parking per month is $267.50
 

"
217,Waterway Point,83 Punggol Central,828761,"MON-FRI Before 5/6 PM
$1.40 for the 1st hr, $0.70 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$1.40 for the 1st hr, $0.70 for next subsequent 30min from 5pm to 8am the following day 

SAT
$1.40 for the 1st hr, $0.70 for next subsequent 30min from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$1.40 for the 1st hr, $0.70 for next subsequent 30min from 8am to 8am the following day 

REMARKS
No grace period 

"
218,Ibis Singapore On Bencoolen Hotel,170 Bencoolen Street,189657,"MON-FRI Before 5/6 PM
$1.50/30min from 8am to 5pm 

MON-FRI After 5/6 PM
$1.50/30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Season parking at $150/month 

"
219,CapitaGreen,138 Market Street,048946,"MON-FRI Before 5/6 PM
$3.10/30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$3.70/entry from 6pm to 6.59am the following day 

SAT
$3.10/30min from 7am to 12.59pm, $3.70/entry from 1pm to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.70/entry from 7am to 6.59am the following day 

"
220,W Singapore Sentosa Cove,21 Ocean Way Sentosa,098374,"MON-FRI Before 5/6 PM
(Mon-Thur) $3.50/entry from 7am to 12.59am the following day 

MON-FRI After 5/6 PM
(Mon-Thur) $1.50/hr from 1am to 6.59am 

SAT
(Fri-Sun) $4.00 for 1st 4hr or part thereof, $1.00 for next subsequent hr from 7am to 5pm, $4.00/entry from 5pm to 1am the following day, $1.50/hr from 1am to 7am 

SUN / PUBLIC HOLIDAYS
(Fri-Sun) $4.00 for 1st 4hr or part thereof, $1.00 for next subsequent hr from 7am to 5pm, $4.00/entry from 5pm to 1am the following day, $1.50/hr from 1am to 7am 

"
221,Quayside Isle @ Sentosa Cove,31 Ocean Way,,"MON-FRI Before 5/6 PM
$3.50/entry from 7am to 12midnight from Mon to Thursday 

MON-FRI After 5/6 PM
$3.50/entry from 7am to 12midnight from Mon to Thursday 

SAT
$4.00 for 1st 4hr from 7am to 5pm, $4.00/entry from 5pm to 1am from Friday to Sunday 

SUN / PUBLIC HOLIDAYS
$4.00 for 1st 4hr from 7am to 5pm, $4.00/entry from 5pm to 1am from Friday to Sunday 

"
222,National Gallery Singapore,1 Saint Andrew's Road,178957,"MON-FRI Before 5/6 PM
$1.30/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$3.20/entry from 6pm to 1am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
No Overnight Parking 

"
223,PARKROYAL COLLECTION Pickering,3 Upper Pickering Street,058289,"MON-FRI Before 5/6 PM
$5.00 for 1st hr, $2.50 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$5.00 for 1st hr, $2.50 for next subsequent 30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
224,Golden Landmark Shopping Complex,390 Victoria Street S(188061),,"MON-FRI Before 5/6 PM
$2.35 for 1st hr, $1.07 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$2.68/entry from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.68/entry from 8am to 8am the following day 

"
225,South Beach Tower,38 Beach Road,189767,"MON-FRI Before 5/6 PM
$2.40/hr from 7am to 5.59pm 

MON-FRI After 5/6 PM
$3.50/entry from 6pm to 6.59am the following day 

SAT
$5.00/entry from 6.59am to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$5.00/entry from 6.59am to 6.59am the following day 

"
226,School of the Arts Singapore,1 Zubir Said Drive,227968,"MON-FRI Before 5/6 PM
$2.50/hr from 7am to 5.59pm 

MON-FRI After 5/6 PM
$5.00/entry from 6pm to 7am the following day 

SAT
$2.50/hr from 7am to 5.59pm, $5.00/entry from 6pm to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$2.50/hr from 7am to 5.59pm, $5.00/entry from 6pm to 6.59am the following day 

"
227,Kallang Wave Mall,1 Stadium Place,397628,"MON-FRI Before 5/6 PM
$0.64/30min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.64/30min from 7pm to 7am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
228,OUE Bayfront,50 Collyer Quay,049321,"MON-FRI Before 5/6 PM
$1.07/10min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$3.75/entry from 6pm to 6.59am the following day 

SAT
$1.07/10min from 7am to 2.59pm, $3.75/entry from 3pm to 11.59pm 

SUN / PUBLIC HOLIDAYS
$3.75/entry from 7am to 7am the following day 

REMARKS
$440/mth for Season Parking. 

"
229,Big Box,1 Venture Avenue,608521,"MON-FRI Before 5/6 PM
$1.60 for 1st hr, $0.50 for next subsequent 15min from 6am to 12midnight 

MON-FRI After 5/6 PM
$2.50/hr from 12midnight to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
230,Capitol Piazza,13 Stamford Road,178905,"MON-FRI Before 5/6 PM
$2.00 for the 1st hr, $0.40 for next subsequent 15min from 11am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 10.59am the following day 

SAT
$2.00 for the 1st 2hr, $0.40 for next subsequent 15min from 11am to 10.59am the following day 

SUN / PUBLIC HOLIDAYS
$2.00 for the 1st 2hr, $0.40 for next subsequent 15min from 11am to 10.59am the following day 

"
231,Sports Hub@Punggol,6 Tebing Lane,828835,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$0.90/30min from 6pm to 12midnight, $0.60/30min from 12midnight to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
232,Asia Square Tower 2,12 Marina View,018961,"MON-FRI Before 5/6 PM
$1.07/10min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$5.35/entry from 6pm to 6.59am the following day 

SAT
$5.35/entry from 7am to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$5.35/entry from 7am to 6.59am the following day 

REMARKS
$535/month inclusive of GST for season parking. 

"
233,Fairprice Hub,1 Joo Koon Circle,629117,"MON-FRI Before 5/6 PM
$1.07/hr from 6am to 11.59pm 

MON-FRI After 5/6 PM
$1.07/hr from 6am to 11.59pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Overnight parking will be wheel clamped 

"
234,Paya Lebar Square,60 Paya Lebar Road,409051,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $0.80 for next subsequent 30min from 12midnight to 6pm 

MON-FRI After 5/6 PM
$2.00/entry from 6pm to 12midnight 

SAT
Free parking for 1st hr, subsequently $0.535/30min from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
Free parking for 1st hr, subsequently $0.535/30min from 7am to 7am the following day 

REMARKS
10min grace period 

"
235,Victory 8,8 Jalan Legundi,759274,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $0.75 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$1.50 for 1st hr, $0.75 for next subsequent 30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
236,The Metropolis,9 North Buona Vista Drive,138588,"MON-FRI Before 5/6 PM
$2.68 for 1st hr, $1.34 for next subsequent 30min or part thereof 

MON-FRI After 5/6 PM
$2.68/entry from 6pm to 12am, $2.68/entry from 12am to 6am the following day 

SAT
$1.07/hr from 6am to 6pm, $2.68/entry from 6pm to 12am, $2.68/entry from 12am to 6am the following day 

SUN / PUBLIC HOLIDAYS
$1.07/hr from 6am to 6pm, $2.68/entry from 6pm to 12am, $2.68/entry from 12am to 6am the following day 

"
237,100 AM Shopping Mall,100 Tras Street,079027,"MON-FRI Before 5/6 PM
$2.00/30mim from 8am to 4.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 7.59am the following day 

"
238,Link@AMK,3 Ang Mo Kio Street 62,569139,"MON-FRI Before 5/6 PM
$0.65/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.65/30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
239,Commerze @ Irving,1 Irving Place,369546,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 5pm  

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 7am the following day  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 7am the following day  

"
240,Alexandra Retail Centre,460 Alexandra Road,119963,"MON-FRI Before 5/6 PM
$2.00/hr from 7am to 6.30pm 

MON-FRI After 5/6 PM
Free parking from 6.30pm to 11pm, $2.40/hr from 11pm to 7am the following day 

SAT
Free parking from 7am to 11pm, $2.40/hr from 11pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 11pm, $2.40/hr from 11pm to 7am the following day 

"
241,East Village,430 Upper Changi Road,487048,"MON-FRI Before 5/6 PM
$0.50/30min from 2am to 6pm 

MON-FRI After 5/6 PM
$0.50/30min from 6pm to 2am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Free parking from 12pm to 2pm, 10min Grace Period 

"
242,HillV2,4 Hillview Rise,667979,"MON-FRI Before 5/6 PM
$1.07 for 1st 90min, $0.64 for next subsequent 30min from 7am th 7am the following day 

MON-FRI After 5/6 PM
$1.07 for 1st 90min, $0.64 for next subsequent 30min from 7am th 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
243,Kinex,11 Tanjong Katong Road,437157,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $0.40 for subsequent 15min from 2am to 6pm  

MON-FRI After 5/6 PM
$2.00/entry from 6pm to 2am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Formerly OneKM Shopping Mall 

"
244,The Seletar Mall,33 Sengkang West Avenue,797653,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 10am to 5pm 

MON-FRI After 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 10pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
245,Changi Airport South Carpark,60 Airport Boulevard,819643,"MON-FRI Before 5/6 PM
$0.035/min from 12midnight to 12midnight the following day 

MON-FRI After 5/6 PM
$0.035/min from 12midnight to 12midnight the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Capped at $35.00 for 24hr 

"
246,One Farrer Hotel & Spa,1 Farrer Park Station Road,217562,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period, Rates shown is for the car park at Connexion 

"
247,Farrer Park Medical Centre,1 Farrer Park Station Road,217562,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period, Rates shown is for the car park at Connexion 

"
248,Farrer Park Hospital,1 Farrer Park Station Road,217562,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period, Rates shown is for the car park at Connexion 

"
249,Cluny Court,501 Bukit Timah Road,259760,"MON-FRI Before 5/6 PM
$2.20 for 1st hr, $1.53 for next subsequent 30min 

MON-FRI After 5/6 PM
$2.20 for 1st hr, $1.53 for next subsequent 30min 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
8min grace period 

"
250,Maritime Square D Off Street,1 Maritime Square,099253,"MON-FRI Before 5/6 PM
$0.50/30min from 7am to 7am the following day 

MON-FRI After 5/6 PM
$0.50/30min from 7am to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
251,Lifelong Learning Institute (LLI),11 Eunos Road 8,408601,"MON-FRI Before 5/6 PM
$1.60/30min from 6am to 5.59pm 

MON-FRI After 5/6 PM
$3.21/entry from 6pm to 11.59pm, $12.00/entry from 12midnight to 5.59am the following day 

SAT
$1.50 for 1st hr, $0.80 for next subsequent 30min from 6am to 1pm, $2.50/entry from 1pm to 11.59pm, $12.00/entry from 12midnight to 5.59am the following day 

SUN / PUBLIC HOLIDAYS
$2.50/entry from 6am to 11.59pm, $12.00/entry from 12midnight to 5.59am the following day 

REMARKS
10min grace period, Full Day Parking at $25.00 on Mon to Fri from 6am to 11.59pm 

"
252,Joo Chiat Neighbourhood Centre,2 Joo Chiat Road,420002,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.60/30min from 5pm to 7am the following day 

SAT
$0.80/30min from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.80/30min from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
253,HDB Bukit Merah Central BM28/30,Bukit Merah Central,150119,"MON-FRI Before 5/6 PM
HDB / URA parking rates from 7am to 7pm 

MON-FRI After 5/6 PM
Reserved for season parking from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
254,"Blk 334/333 Kreta Ayer, Blk 4 Sago Lane",334 Kreta Ayer Road,050004,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.50/30min from 5pm to 10.30pm, $0.50/30min from 10.30pm to 7am the following day 

SAT
$0.50/30min from 7am to 10.30pm, $0.50/30min from 10.30pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.50/30min from 7am to 10.30pm, $0.50/30min from 10.30pm to 7am the following day 

REMARKS
For any parking session Mon-Sat 10.30pm to 7.00am hours of the following day, per minute charging will apply subject to a maximum parking charge of $4.00 

"
255,The Pinnacle @ Duxton,1 Cantonment Road,080001,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.50/30min from 5pm to 10.30pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$0.50/30min from 7am to 10.30pm 

REMARKS
Reserved for season parking only from 10.30pm to 6.59am the following day 

"
256,The Octagon,105 Cecil Street,069534,"MON-FRI Before 5/6 PM
Private Car Park 

MON-FRI After 5/6 PM
Private Car Park 

SAT
Private Car Park 

SUN / PUBLIC HOLIDAYS
Private Car Park 

REMARKS
$400/mth for season parking 

"
257,MOH College of Medicine,16 College Road,169854,"MON-FRI Before 5/6 PM
Not applicable 

MON-FRI After 5/6 PM
$0.60/30min from 5.30pm to 7am the following day 

SAT
$0.60/30min from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 7am to 7am the following day 

REMARKS
10min grace period 

"
258,Ngee Ann Polytechnic,535 Clementi Road,599489,"MON-FRI Before 5/6 PM
$1.20/hr from 7am to 5pm 

MON-FRI After 5/6 PM
$1.20/hr from 5pm to 10.30pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Parking rate is charging by ""Per Minute"" basis, No night parking 

"
259,Singapore Institute of Management,461 Clementi Road,599491,"MON-FRI Before 5/6 PM
$0.64/30min from 6am to 5pm 

MON-FRI After 5/6 PM
$0.64/30min from 5pm to 11.59pm 

SAT
$0.64/30min from 6am to 11.59pm 

SUN / PUBLIC HOLIDAYS
$0.64/30min from 6am to 11.59pm 

"
260,Biopolis 3,3 Biopolis Drive,138623,"MON-FRI Before 5/6 PM
$1.65/hr from 7am to 7pm 

MON-FRI After 5/6 PM
$3.30/entry from 7pm to 7am the following day 

SAT
$1.65/hr from 7am to 2pm, $3.30/entry from 2pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$3.30/entry from 7am to 7am the following day 

"
